Time,Level,Robot name,Process,Hostname,Host Identity,Message
2/17/2022 5:12:25 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,ClinTrials-Enrollment Rate execution started
2/17/2022 5:12:27 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Process Execution Started : 02/17/2022 18:42:27
2/17/2022 5:12:27 AM,Trace,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Closing the applications
2/17/2022 5:12:27 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Reading Config file
2/17/2022 5:12:32 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Input to Archive folder
2/17/2022 5:12:33 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Output to Archive folder
2/17/2022 5:13:40 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,ClinTrials-Enrollment Rate execution started
2/17/2022 5:13:41 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Process Execution Started : 02/17/2022 18:43:41
2/17/2022 5:13:41 AM,Trace,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Closing the applications
2/17/2022 5:13:41 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Reading Config file
2/17/2022 5:13:47 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Input to Archive folder
2/17/2022 5:13:47 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Output to Archive folder
2/17/2022 5:16:53 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,ClinTrials-Enrollment Rate execution started
2/17/2022 5:16:54 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Process Execution Started : 02/17/2022 18:46:54
2/17/2022 5:16:55 AM,Trace,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Closing the applications
2/17/2022 5:16:55 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Reading Config file
2/17/2022 5:17:01 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Input to Archive folder
2/17/2022 5:17:01 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Output to Archive folder
2/17/2022 5:23:04 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,ClinTrials-Enrollment Rate execution ended
2/17/2022 5:23:11 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,ClinTrials-Enrollment Rate execution started
2/17/2022 5:23:13 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Process Execution Started : 02/17/2022 18:53:13
2/17/2022 5:23:13 AM,Trace,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Closing the applications
2/17/2022 5:23:13 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Reading Config file
2/17/2022 5:23:19 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Input to Archive folder
2/17/2022 5:23:19 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Output to Archive folder
2/17/2022 5:24:53 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,ClinTrials-Enrollment Rate execution ended
2/17/2022 5:24:57 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,ClinTrials-Enrollment Rate execution started
2/17/2022 5:24:58 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Process Execution Started : 02/17/2022 18:54:58
2/17/2022 5:24:59 AM,Trace,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Closing the applications
2/17/2022 5:24:59 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Reading Config file
2/17/2022 5:25:05 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Input to Archive folder
2/17/2022 5:25:05 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Output to Archive folder
2/17/2022 5:58:59 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,ClinTrials-Enrollment Rate execution started
2/17/2022 5:59:00 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Process Execution Started : 02/17/2022 19:29:00
2/17/2022 5:59:01 AM,Trace,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Closing the applications
2/17/2022 5:59:01 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Reading Config file
2/17/2022 5:59:07 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Input to Archive folder
2/17/2022 5:59:08 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Output to Archive folder
2/17/2022 6:05:59 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,ClinTrials-Enrollment Rate execution started
2/17/2022 6:06:00 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Process Execution Started : 02/17/2022 19:36:00
2/17/2022 6:06:01 AM,Trace,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Closing the applications
2/17/2022 6:06:01 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Reading Config file
2/17/2022 6:06:07 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Input to Archive folder
2/17/2022 6:06:07 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Output to Archive folder
2/17/2022 6:11:34 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,ClinTrials-Enrollment Rate execution started
2/17/2022 6:11:35 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Process Execution Started : 02/17/2022 19:41:35
2/17/2022 6:11:35 AM,Trace,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Closing the applications
2/17/2022 6:11:36 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Reading Config file
2/17/2022 6:11:44 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Input to Archive folder
2/17/2022 6:11:44 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Output to Archive folder
2/17/2022 6:14:49 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,ClinTrials-Enrollment Rate execution ended
2/17/2022 6:14:57 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,ClinTrials-Enrollment Rate execution started
2/17/2022 6:14:59 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Process Execution Started : 02/17/2022 19:44:59
2/17/2022 6:14:59 AM,Trace,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Closing the applications
2/17/2022 6:14:59 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Reading Config file
2/17/2022 6:15:07 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Input to Archive folder
2/17/2022 6:15:08 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Output to Archive folder
2/17/2022 6:27:01 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,ClinTrials-Enrollment Rate execution ended
2/17/2022 6:29:19 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,ClinTrials-Enrollment Rate execution started
2/17/2022 6:29:20 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Process Execution Started : 02/17/2022 19:59:20
2/17/2022 6:29:20 AM,Trace,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Closing the applications
2/17/2022 6:29:21 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Reading Config file
2/17/2022 6:29:21 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Output to Archive folder
2/17/2022 6:29:21 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Input to Archive folder
2/17/2022 6:29:23 AM,Trace,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,counter:1
2/17/2022 6:29:32 AM,Trace,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Closing the applications
2/17/2022 6:29:32 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,ClinTrials-Enrollment Rate execution ended
2/17/2022 6:30:41 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,ClinTrials-Enrollment Rate execution started
2/17/2022 6:30:42 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Process Execution Started : 02/17/2022 20:00:42
2/17/2022 6:30:42 AM,Trace,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Closing the applications
2/17/2022 6:30:42 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Reading Config file
2/17/2022 6:30:42 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Input to Archive folder
2/17/2022 6:30:42 AM,Info,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,Moving previous day files present in Output to Archive folder
2/17/2022 6:30:44 AM,Trace,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,counter:1
2/17/2022 6:30:45 AM,Trace,aadvitot@exelixis.com-attended,ClinTrials-Enrollment Rate,EXEL-P2-VDI125,EXELIXIS\aadvitot,counter:2
